titles,released,developers,publishers,genres
101 Dalmatians: Escape from DeVil Manor,1999,DreamForge Intertainment,Disney Interactive,"Puzzle, Strategy, Adventure"
102 Dalmatians: Puppies to the Rescue,2000,Crystal Dynamics,Eidos Interactive,"Platform, Adventure"
140,2016,Double Fine Productions,Abstraction Games,"Music, Platform, Puzzle, Strategy, Indie"
1001 Spikes,2014,8bits Fanatics,Nicalis,"Platform, Adventure, Indie"
The 11th Hour,1995,Trilobyte,Virgin Interactive,"Point-and-click, Puzzle, Adventure"
12Riven: The Psi-Climinal of Integral,2008,"KID, Cyberfront","KID, Cyberfront, SDR Project","Adventure, Visual Novel"
1914 Shells of Fury,2007,Rondomedia,"Strategy First, h2f Informationssysteme",Simulator
2 on 2 Open Ice Challenge,1997,Midway Games,Midway Games,Sport
2002 FIFA World Cup,2002,EA Canada,EA Sports,Sport
2006 FIFA World Cup,2006,EA Canada,EA Sports,Sport
25 To Life,2006,Avalanche Software,Eidos Interactive,Shooter
3D Ultra Minigolf,2007,Wanako Games,Sierra On-Line,Sport
3-D Ultra Pinball,1995,Dynamix,Sierra On-Line,Pinball
3D Body Adventure,1995,Knowledge Adventure,Levande Böcker,Point-and-click
428: Shibuya Scramble,2018,Spike Chunsoft,Spike Chunsoft,"Adventure, Visual Novel"
4x4 EVO 2,2001,Terminal Reality,Gathering of Developers,"Racing, Simulator"
4x4 Evolution,2000,Terminal Reality,Gathering of Developers,Racing
5,2008,Ram,Visual Arts,"Shooter, Adventure"
6180 the moon,2014,PokPoong GamesTurtle Cream,Turtle Cream,"Music, Platform, Puzzle, Adventure, Indie, Arcade"
7 Sins,2005,Monte Cristo,Digital Jesters,"Point-and-click, Puzzle, Adventure"
7 Wonders of the Ancient World,2007,Hot Lava Games,MumboJumbo,"Puzzle, Strategy"
The 7th Guest,1993,Trilobyte,Virgin Games,"Point-and-click, Adventure"
80 Days,2005,Frogwares,Frogwares,"Platform, Puzzle, Adventure"
9: The Last Resort,1996,Tribeca Interactive,GT Interactive,"Point-and-click, Adventure"
A Game of Thrones: Genesis,2011,Cyanide,Focus Home Interactive,"Real Time Strategy (RTS), Strategy"
A New Beginning,2010,Daedalic Entertainment,Deep Silver,Visual Novel
A Virus Named TOM,2012,Misfits Attic,Misfits Attic,"Puzzle, Strategy, Indie, Arcade"
A2 Racer,1997,Davilex Games,Davilex Games,Racing
ABC Sports Indy Racing,1997,Shot Sports Software,ABC Interactive,Racing
Abomination: The Nemesis Project,1999,Hothouse Creations,Eidos Interactive,Strategy
Ace Online,2006,MasangSoft,Yedang,"Role-playing (RPG), Adventure"
Ace Ventura,1996,7th Level,Bomico Entertainment Software,Adventure
Aces of the Galaxy,2008,Artech Studios,Sierra Online,Shooter
Achtung Spitfire!,1997,Big Time Software,Avalon Hill,Turn-based strategy (TBS)
Act of War: Direct Action,2005,Eugen Systems,Atari,"Real Time Strategy (RTS), Strategy"
Act of War: High Treason,2006,Eugen Systems,Atari,"Real Time Strategy (RTS), Strategy"
Active Worlds,1995,"ActiveWorlds, Inc.",,"Music, Puzzle, Strategy, Indie"
Activision Anthology,2002,MacPlay,Activision,"Racing, Simulator, Sport, Strategy"
Actua Ice Hockey,1998,Gremlin Interactive,Gremlin Interactive,Sport
